,Method,iter_count,f_count,e
0,dichotomy,7,14,0.1
1,golden_ratio,8,10,0.1
2,fibonacci,7,9,0.1
3,parabolic,3,5,0.1
4,brent,3,4,0.1
5,dichotomy,10,20,0.01
6,golden_ratio,13,15,0.01
7,fibonacci,12,14,0.01
8,parabolic,5,7,0.01
9,brent,4,5,0.01
10,dichotomy,14,28,0.001
11,golden_ratio,18,20,0.001
12,fibonacci,16,18,0.001
13,parabolic,7,9,0.001
14,brent,5,6,0.001
15,dichotomy,17,34,0.0001
16,golden_ratio,23,25,0.0001
17,fibonacci,21,23,0.0001
18,parabolic,9,11,0.0001
19,brent,6,7,0.0001
20,dichotomy,20,40,1e-05
21,golden_ratio,27,29,1e-05
22,fibonacci,26,28,1e-05
23,parabolic,11,13,1e-05
24,brent,6,7,1e-05
25,dichotomy,24,48,1e-06
26,golden_ratio,32,34,1e-06
27,fibonacci,31,33,1e-06
28,parabolic,13,15,1e-06
29,brent,6,7,1e-06
30,dichotomy,27,54,1e-07
31,golden_ratio,37,39,1e-07
32,fibonacci,36,38,1e-07
33,parabolic,15,17,1e-07
34,brent,7,8,1e-07
35,dichotomy,30,60,1e-08
36,golden_ratio,42,44,1e-08
37,fibonacci,40,42,1e-08
38,parabolic,17,19,1e-08
39,brent,7,8,1e-08
40,dichotomy,34,68,1e-09
41,golden_ratio,46,48,1e-09
42,fibonacci,45,47,1e-09
43,parabolic,19,21,1e-09
44,brent,7,8,1e-09
45,dichotomy,37,74,1e-10
46,golden_ratio,51,53,1e-10
47,fibonacci,50,52,1e-10
48,parabolic,21,23,1e-10
49,brent,8,9,1e-10
50,dichotomy,40,80,1e-11
51,golden_ratio,56,58,1e-11
52,fibonacci,55,57,1e-11
53,parabolic,22,24,1e-11
54,brent,8,9,1e-11
55,dichotomy,44,88,1e-12
56,golden_ratio,61,63,1e-12
57,fibonacci,59,61,1e-12
58,parabolic,24,26,1e-12
59,brent,8,9,1e-12
60,dichotomy,47,94,1e-13
61,golden_ratio,66,68,1e-13
62,fibonacci,64,66,1e-13
63,parabolic,26,28,1e-13
64,brent,8,9,1e-13
65,dichotomy,50,100,1e-14
66,golden_ratio,70,72,1e-14
67,fibonacci,69,71,1e-14
68,parabolic,28,30,1e-14
69,brent,8,9,1e-14
70,dichotomy,54,108,1e-15
71,golden_ratio,75,77,1e-15
72,fibonacci,74,76,1e-15
73,parabolic,30,32,1e-15
74,brent,8,9,1e-15
75,dichotomy,1,2,1e-16
76,golden_ratio,80,82,1e-16
77,fibonacci,79,81,1e-16
78,parabolic,32,34,1e-16
79,brent,8,9,1e-16
80,dichotomy,1,2,1e-17
81,golden_ratio,85,87,1e-17
82,fibonacci,83,85,1e-17
83,parabolic,34,36,1e-17
84,brent,11,12,1e-17
85,dichotomy,1,2,1e-18
86,golden_ratio,90,92,1e-18
87,fibonacci,88,90,1e-18
88,parabolic,36,38,1e-18
89,brent,11,12,1e-18
90,dichotomy,1,2,1e-19
91,golden_ratio,94,96,1e-19
92,fibonacci,93,95,1e-19
93,parabolic,38,40,1e-19
94,brent,11,12,1e-19
95,dichotomy,1,2,1e-20
96,golden_ratio,99,101,1e-20
97,fibonacci,98,100,1e-20
98,parabolic,40,42,1e-20
99,brent,11,12,1e-20
